area,name,taxable_income_million_yen,income_taxpayers,fiscal_year
07542,楢葉町,9148.0,2904.0,2022
07543,富岡町,17898.0,4875.0,2022
07544,川内村,2820.0,948.0,2022
07545,大熊町,14242.0,3825.0,2022
07546,双葉町,6597.0,1995.0,2022
07547,浪江町,18568.0,5807.0,2022
07548,葛尾村,1431.0,507.0,2022
07561,新地町,9707.0,3428.0,2022
07564,飯舘村,5044.0,1813.0,2022
08000,茨城県,4517894.0,1364247.0,2022
08201,水戸市,458406.0,129461.0,2022
08202,日立市,275152.0,81903.0,2022
08203,土浦市,227747.0,68826.0,2022
08204,古河市,209100.0,67531.0,2022
08205,石岡市,98929.0,33144.0,2022
08207,結城市,72169.0,23789.0,2022
08208,龍ケ崎市,116527.0,36080.0,2022
08210,下妻市,59149.0,20364.0,2022
08211,常総市,86764.0,29382.0,2022
08212,常陸太田市,64235.0,22250.0,2022
08214,高萩市,36129.0,12626.0,2022
08215,北茨城市,55907.0,19097.0,2022
08216,笠間市,101167.0,34193.0,2022
08217,取手市,161410.0,49619.0,2022
08219,牛久市,143576.0,40320.0,2022
08220,つくば市,516438.0,121583.0,2022
08221,ひたちなか市,271597.0,77307.0,2022
08222,鹿嶋市,99640.0,30728.0,2022
08223,潮来市,36881.0,12245.0,2022
08224,守谷市,141674.0,34792.0,2022
08225,常陸大宮市,48113.0,17410.0,2022
08226,那珂市,78030.0,25586.0,2022
08227,筑西市,141123.0,47734.0,2022
08228,坂東市,71224.0,24754.0,2022
08229,稲敷市,49563.0,17549.0,2022
08230,かすみがうら市,59578.0,19377.0,2022
08231,桜川市,50591.0,17739.0,2022
08232,神栖市,157035.0,46442.0,2022
08233,行方市,42013.0,14111.0,2022
08234,鉾田市,59623.0,20562.0,2022
08235,つくばみらい市,89968.0,25011.0,2022
08236,小美玉市,68870.0,23142.0,2022
08302,茨城町,40841.0,13883.0,2022
08309,大洗町,20857.0,7170.0,2022
08310,城里町,22276.0,8261.0,2022
08341,東海村,67448.0,18553.0,2022
08364,大子町,16026.0,6320.0,2022
08442,美浦村,22663.0,6958.0,2022
08443,阿見町,74808.0,23187.0,2022
08447,河内町,10148.0,3571.0,2022
08521,八千代町,28613.0,9486.0,2022
08542,五霞町,11509.0,3789.0,2022
08546,境町,35115.0,11589.0,2022
08564,利根町,19259.0,6823.0,2022
09000,栃木県,3009755.0,921681.0,2022
09201,宇都宮市,918716.0,252025.0,2022
09202,足利市,202262.0,66099.0,2022
09203,栃木市,223965.0,72909.0,2022
09204,佐野市,169488.0,54212.0,2022
09205,鹿沼市,139336.0,45582.0,2022
09206,日光市,104093.0,37037.0,2022
09208,小山市,271405.0,80831.0,2022
09209,真岡市,116891.0,38185.0,2022
09210,大田原市,100934.0,33029.0,2022
09211,矢板市,42864.0,14645.0,2022
09213,那須塩原市,176761.0,57142.0,2022
09214,さくら市,66382.0,20724.0,2022
09215,那須烏山市,31124.0,11084.0,2022
09216,下野市,111177.0,29021.0,2022
09301,上三川町,50403.0,15307.0,2022
09342,益子町,28740.0,9979.0,2022
09343,茂木町,13771.0,5134.0,2022
09344,市貝町,16406.0,5400.0,2022
09345,芳賀町,21223.0,6954.0,2022
09361,壬生町,58298.0,18034.0,2022
09364,野木町,37309.0,12001.0,2022
09384,塩谷町,13015.0,4707.0,2022
09386,高根沢町,49535.0,14770.0,2022
09407,那須町,27991.0,10302.0,2022
09411,那珂川町,17666.0,6568.0,2022
10000,群馬県,2931988.0,910271.0,2022
10201,前橋市,541887.0,156943.0,2022
10202,高崎市,616537.0,174679.0,2022
10203,桐生市,140923.0,47001.0,2022
10204,伊勢崎市,316847.0,101646.0,2022
10205,太田市,352794.0,106457.0,2022
10206,沼田市,60817.0,20750.0,2022
10207,館林市,113270.0,35501.0,2022
10208,渋川市,100735.0,33967.0,2022
10209,藤岡市,88128.0,30001.0,2022
10210,富岡市,65591.0,21748.0,2022
10211,安中市,78950.0,25580.0,2022
10212,みどり市,70098.0,22988.0,2022
10344,榛東村,20909.0,7008.0,2022
10345,吉岡町,33522.0,10530.0,2022
10366,上野村,1091.0,464.0,2022
10367,神流町,1467.0,606.0,2022
10382,下仁田町,7519.0,2841.0,2022
10383,南牧村,1286.0,553.0,2022
10384,甘楽町,16304.0,5805.0,2022
10421,中之条町,19098.0,6901.0,2022
10424,長野原町,7729.0,2565.0,2022
10425,嬬恋村,13536.0,4584.0,2022
10426,草津町,7540.0,3049.0,2022
10428,高山村,3979.0,1460.0,2022
10429,東吾妻町,15480.0,5751.0,2022
10443,片品村,3936.0,1543.0,2022
10444,川場村,3575.0,1343.0,2022
10448,昭和村,9553.0,3167.0,2022
10449,みなかみ町,19841.0,7569.0,2022
10464,玉村町,53929.0,17881.0,2022
10521,板倉町,18657.0,6364.0,2022
10522,明和町,15322.0,5112.0,2022
10523,千代田町,15525.0,5117.0,2022
10524,大泉町,59996.0,20784.0,2022
10525,邑楽町,35616.0,12013.0,2022
11000,埼玉県,13130959.0,3652986.0,2022
11100,さいたま市,2785429.0,675498.0,2022
11101,西区,,,2022
11102,北区,,,2022
11103,大宮区,,,2022
11104,見沼区,,,2022
11105,中央区,,,2022
11106,桜区,,,2022
11107,浦和区,,,2022
11108,南区,,,2022
11109,緑区,,,2022
11110,岩槻区,,,2022
11201,川越市,611761.0,172938.0,2022
11202,熊谷市,310110.0,92908.0,2022
11203,川口市,1132140.0,307136.0,2022
11206,行田市,117093.0,37587.0,2022
11207,秩父市,81211.0,27412.0,2022
11208,所沢市,634005.0,172599.0,2022
11209,飯能市,124222.0,37809.0,2022
11210,加須市,163417.0,52666.0,2022
11211,本庄市,117538.0,36889.0,2022
11212,東松山市,140430.0,43132.0,2022
11214,春日部市,360094.0,111184.0,2022
11215,狭山市,239049.0,74013.0,2022
11216,羽生市,78149.0,25075.0,2022
11217,鴻巣市,188773.0,56751.0,2022
11218,深谷市,214486.0,66977.0,2022
11219,上尾市,396548.0,112868.0,2022
11221,草加市,448188.0,127385.0,2022
11222,越谷市,612274.0,169605.0,2022
11223,蕨市,142108.0,39957.0,2022
11224,戸田市,291245.0,75543.0,2022
11225,入間市,237249.0,71365.0,2022
11227,朝霞市,300461.0,76513.0,2022
11228,志木市,150454.0,38584.0,2022
11229,和光市,190029.0,47114.0,2022
11230,新座市,290784.0,81486.0,2022
11231,桶川市,125395.0,36244.0,2022
11232,久喜市,245061.0,72978.0,2022
11233,北本市,105672.0,31719.0,2022
11234,八潮市,171070.0,48479.0,2022
11235,富士見市,206938.0,56551.0,2022
11237,三郷市,261332.0,70398.0,2022
11238,蓮田市,104065.0,30081.0,2022
